id,group,interventionMessage,walkMessage,gif,timeOfDay,sampleMessage
1,gif-m,Energize your day with a walk like this little friend! :),Can you go for a short walk this morning?,hamster-wheel-2,Morning,Energize your day with a walk like this little friend! :) Can you go for a short walk this morning?
2,gif-m,A walk will make you feel pawfect! Let's go! :D,Can you go for a short walk this morning?,happy-dog-4,Morning,
3,gif-m,What are you waiting for? Let's go for a walk! ,Can you go for a short walk this morning?,happy-dog-5,Morning,
4,gif-m,Feeling stiff? You can get your body loosened up like this dancing grizzly!,Can you go for a short walk this morning?,dancing-bear-7,Morning,Feeling stiff? You can get your body loosened up with a short walk. Can you go for a short walk this morning?
5,gif-m,Moving your body like this will give you joy! Let's get it going!,Can you go for a short walk this morning?,dancing-cat-8,Morning,
6,gif-m,Want to feel strong? Let's go out and get walking!,Can you go for a short walk this morning?,squirrel-pushup-9,Morning,
7,gif-m,Put your shoes on and get strolling!,Can you go for a short walk this morning?,walking-elephant-12,Morning,
8,gif-m,Want to freshen up your day? Let's get going!,How about a short walk this morning?,baby-huskies-21,Morning,
9,gif-m,I'm ready for some walk. Are you ready?,How about a short walk this morning?,ready-cat-15,Morning,
10,gif-m,Just a reminder that you rock!,How about thanking your body with a short walk?,dancing-bear-7,Morning,
11,gif-m,Did you know getting fresh air can increase your productivity?,How about getting some of that this morning with a short walk?,snow-dog-13,Morning,
12,gif-m,Let's get some outdoor air to wake you up! ,How about a morning walk?,winter-weasel-6,Morning,Let's get some outdoor air to wake you up! How about a morning walk?
13,gif-m,A short jaunt outdoors would be a great way to start the day.,Can you make it happen this morning?,penguin-walk-10,Morning,
14,gif-m,"Oof, stiff body is no good!",How about a short walk outside this morning?,running-lizard-25,Morning,
15,gif-m,"Hey friend, how about a morning walk to kickstart your day?",Can you make it happen this morning?,ready-cat-15,Morning,
16,gif-m,"When you’re feeling groggy, moving your body like this grizzly here will wake you up! :)",Can you go for a short walk this morning?,dancing-bear-7,Morning,
17,gif-m,"Start your day strong by taking care of yourself. Let's go, gwak!",Can you go for a short walk this morning?,running-chick-11,Morning,
18,gif-m,Want to add joy to your day? ,How about a short walk outside this morning?,excited-dog-27,Morning,
19,gif-m,A step closer to a healthy body and mind starts now!,Can you go for a short walk this morning?,walking-elephant-12,Morning,
20,gif-m,Kickstart your day with a walk like this little friend!,Can you go for a walk this morning?,happy-dog-4,Morning,
21,gif-m,Moving your body like this friend will give a boost to your day.,Can you make it happen this morning?,jumping-goldie-14,Morning,
22,gif-m,I'm ready for some walk. Are you ready?,Can you make it happen this morning?,ostrich-circle-23,Morning,
23,gif-m,"Wiggle your toes, let's get those legs moving!",Can you go for a short walk this morning?,happy-dog-1,Morning,
24,gif-m,Want to add happiness to your day? ,How about a walk this morning?,smiling-goldie-17,Morning,
25,gif-m,Consistency is key to a healthy body and mind!,Can you go for a short walk this morning?,lets-go-dog-18,Morning,
26,gif-m,Feeling stressed? Come outside for some fresh air!,Can you go for a short walk this morning?,come-here-bear-19,Morning,
27,gif-m,An exciting day is waiting for you!,How about a walk this morning?,trampoline-dog-20,Morning,
28,gif-m,"When you’re feeling sleepy, warming up your body can help you feel alert!",Can you go for a short walk this morning?,squirrel-pushup-9,Morning,
29,gif-m,Self care is important for a healthy body and mind.,How about a walk this morning?,happy-dog-5,Morning,
30,gif-m,Happy morning! Let's kickstart your day!,Can you go for a walk this morning?,winter-weasel-6,Morning,
31,gif-m,Let's get moving one step at a time.,Can you make it happen this morning?,dancing-cat-8,Morning,
32,gif-m,Let's starting your day with some energy!,How about a short walk this morning?,rabbit-jump-22,Morning,
33,gif-m,Want to start your day with some joy?,How about a short walk this morning?,panda-dance-24,Morning,
34,gif-m,Starting your day strong will give you momentum all day!,How about a walk this morning?,pug-chimp-26,Morning,
35,gif-m,[Test] morning gif message with a non-existent gif URL. You should not see a gif with this message., ,this-gif-does-not-exist,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
