id,group,interventionMessage,walkMessage,timeOfDay,sampleMessage
1,nongif-m,Energize your day with a walk!,Can you go for a short walk this morning?,Morning,Energize your day with a walk like this little friend! :) Can you go for a short walk this morning?
2,nongif-m,A walk will make you feel great!,Can you go for a short walk this morning?,Morning,
3,nongif-m,What are you waiting for? Let's go for a walk!,Can you go for a short walk this morning?,Morning,
4,nongif-m,Feeling stiff? You can get your body loosened up with a short walk.,Can you go for a short walk this morning?,Morning,Feeling stiff? You can get your body loosened up with a short walk. Can you go for a short walk this morning?
5,nongif-m,Moving your body will give you joy!,Can you go for a short walk this morning?,Morning,
6,nongif-m,Want to feel strong? Go out and get walking!,Can you go for a short walk this morning?,Morning,
7,nongif-m,Put your shoes on and get strolling!,Can you go for a short walk this morning?,Morning,
8,nongif-m,Want to freshen up your day?,How about a short walk this morning?,Morning,
9,nongif-m,Are you ready for a walk?,How about a short walk this morning?,Morning,
10,nongif-m,Just a reminder that you rock!,How about thanking your body with a short walk?,Morning,
11,nongif-m,Did you know fresh air can increase your productivity?,How about getting some of that this morning with a short walk?,Morning,
12,nongif-m,Let's get some outdoor air to wake you up!,How about a morning walk?,Morning,Let's get some outdoor air to wake you up! How about a morning walk?
13,nongif-m,A short jaunt outdoors would be a great way to start the day.,Can you make it happen this morning?,Morning,
14,nongif-m,"Ouch, stiff body is no good! ",How about a short walk outside this morning?,Morning,
15,nongif-m,How about a morning walk to kickstart your day?,Can you make it happen this morning?,Morning,
16,nongif-m,"When you’re feeling groggy, moving your body will wake you up! :)",Can you go for a short walk this morning?,Morning,
17,nongif-m,Start your day strong by taking care of yourself.,Can you go for a short walk this morning?,Morning,
18,nongif-m,Want to add joy to your day? ,How about a short walk outside this morning?,Morning,
19,nongif-m,A step closer to a healthy body and mind starts now!,Can you go for a short walk this morning?,Morning,
20,nongif-m,Kickstart your day with a morning walk!,Can you go for a walk this morning?,Morning,
21,nongif-m,Moving your body will give a boost to your day.,Can you make it happen this morning?,Morning,
22,nongif-m,Are you ready for some walk?,Can you make it happen this morning?,Morning,
23,nongif-m,"Wiggle your toes, and get those legs moving!",Can you go for a short walk this morning?,Morning,
24,nongif-m,Want to add happiness to your day? ,How about a walk this morning?,Morning,
25,nongif-m,Consistency is key to a healthy body and mind.,Can you go for a short walk this morning?,Morning,
26,nongif-m,Feeling stressed? Go outside for some fresh air!,Can you go for a short walk this morning?,Morning,
27,nongif-m,An exciting day is waiting for you!,How about a walk this morning?,Morning,
28,nongif-m,"When you’re feeling down, warming up your body can help you recover!",Can you go for a short walk this morning?,Morning,
29,nongif-m,Self care is important for a healthy body and mind.,How about a walk this morning?,Morning,
30,nongif-m,Happy morning! Let's kickstart your day!,Can you go for a walk this morning?,Morning,
31,nongif-m,Let's get moving one step at a time.,Can you make it happen this morning?,Morning,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
